iter	Passed	Remaining
0	148	148562
1	151	75626
2	153	51147
3	157	39298
4	159	31837
5	164	27234
6	166	23634
7	168	20882
8	171	18857
9	173	17146
10	174	15716
11	176	14510
12	178	13520
13	179	12670
14	181	11947
15	183	11281
16	185	10699
17	185	10146
18	187	9671
19	189	9293
20	191	8919
21	192	8577
22	194	8274
23	196	8005
24	198	7748
25	200	7529
26	202	7304
27	204	7109
28	209	7011
29	212	6862
30	215	6721
31	217	6566
32	217	6384
33	221	6297
34	223	6169
35	225	6031
36	227	5925
37	230	5826
38	231	5710
39	233	5603
40	235	5501
41	236	5400
42	237	5292
43	238	5178
44	239	5088
45	242	5027
46	243	4946
47	245	4865
48	249	4841
49	249	4748
50	251	4678
51	252	4611
52	254	4544
53	256	4497
54	258	4436
55	259	4381
56	261	4327
57	264	4296
58	265	4239
59	267	4196
60	269	4148
61	271	4105
62	272	4057
63	275	4025
64	276	3982
65	278	3938
66	279	3897
67	281	3857
68	282	3818
69	284	3779
70	286	3748
71	288	3712
72	291	3696
73	293	3675
74	295	3641
75	296	3598
76	297	3563
77	298	3531
78	301	3517
79	303	3488
80	305	3462
81	307	3438
82	310	3427
83	311	3401
84	313	3375
85	314	3346
86	317	3330
87	318	3301
88	319	3275
89	323	3269
90	326	3259
91	327	3233
92	329	3212
93	331	3198
94	333	3176
95	335	3156
96	336	3133
97	339	3123
98	340	3100
99	343	3090
100	346	3079
101	349	3076
102	351	3063
103	354	3053
104	355	3034
105	358	3027
106	360	3009
107	364	3011
108	367	3007
109	370	2998
110	372	2980
111	373	2961
112	375	2950
113	377	2933
114	379	2917
115	380	2900
116	382	2884
117	384	2873
118	388	2879
119	390	2864
120	392	2847
121	393	2831
122	396	2823
123	397	2808
124	399	2797
125	401	2782
126	404	2781
127	406	2768
128	408	2761
129	413	2764
130	415	2754
131	416	2739
132	418	2726
133	419	2713
134	422	2705
135	423	2693
136	425	2679
137	427	2671
138	429	2661
139	431	2651
140	432	2636
141	434	2625
142	438	2627
143	439	2614
144	441	2602
145	443	2596
146	446	2591
147	447	2578
148	448	2563
149	451	2559
150	455	2562
151	459	2563
152	461	2555
153	464	2553
154	466	2543
155	469	2539
156	472	2535
157	474	2530
158	477	2527
159	480	2523
160	482	2511
161	483	2498
162	484	2489
163	486	2482
164	490	2481
165	492	2474
166	493	2463
167	496	2457
168	497	2447
169	499	2439
170	502	2437
171	504	2430
172	506	2420
173	508	2412
174	509	2402
175	512	2398
176	515	2396
177	517	2388
178	519	2384
179	522	2380
180	524	2372
181	526	2366
182	528	2359
183	531	2358
184	534	2355
185	537	2351
186	540	2350
187	543	2349
188	547	2351
189	549	2343
190	552	2340
191	555	2336
192	557	2329
193	558	2320
194	561	2316
195	563	2311
196	565	2305
197	568	2302
198	569	2294
199	571	2285
200	572	2277
201	574	2269
202	576	2262
203	578	2256
204	580	2252
205	583	2248
206	585	2242
207	587	2235
208	589	2229
209	590	2222
210	592	2214
211	595	2213
212	599	2215
213	601	2207
214	604	2206
215	606	2200
216	607	2193
217	610	2191
218	612	2184
219	614	2178
220	616	2173
221	618	2166
222	620	2160
223	621	2153
224	623	2147
225	625	2140
226	626	2133
227	629	2130
228	632	2130
229	634	2125
230	636	2119
231	638	2113
232	642	2114
233	645	2112
234	646	2106
235	648	2099
236	650	2094
237	652	2089
238	655	2085
239	656	2079
240	658	2075
241	661	2071
242	662	2064
243	664	2057
244	665	2051
245	667	2047
246	672	2049
247	675	2048
248	678	2046
249	680	2041
250	682	2036
251	685	2033
252	687	2029
253	688	2022
254	690	2016
255	693	2014
256	694	2009
257	696	2003
258	698	1998
259	699	1992
260	702	1989
261	707	1991
262	708	1985
263	711	1983
264	713	1979
265	715	1973
266	716	1967
267	718	1963
268	720	1957
269	721	1951
270	724	1948
271	726	1944
272	729	1942
273	731	1938
274	733	1933
275	734	1927
276	736	1922
277	739	1920
278	742	1919
279	744	1914
280	745	1908
281	747	1902
282	750	1900
283	752	1897
284	754	1892
285	757	1889
286	758	1884
287	760	1880
288	763	1878
289	766	1876
290	768	1872
291	770	1867
292	772	1864
293	774	1859
294	777	1857
295	780	1855
296	781	1848
297	782	1844
298	784	1839
299	786	1835
300	788	1831
301	791	1828
302	793	1824
303	794	1820
304	797	1816
305	799	1813
306	801	1810
307	804	1807
308	806	1804
309	809	1801
310	810	1796
311	812	1791
312	813	1786
313	815	1781
314	816	1776
315	819	1773
316	820	1768
317	822	1764
318	824	1759
319	825	1754
320	827	1750
321	828	1745
322	830	1741
323	832	1736
324	834	1734
325	836	1729
326	839	1727
327	841	1723
328	842	1718
329	843	1713
330	845	1709
331	847	1704
332	849	1701
333	856	1708
334	859	1706
335	861	1702
336	863	1698
337	865	1695
338	867	1690
339	868	1686
340	871	1684
341	874	1682
342	877	1680
343	879	1677
344	881	1674
345	885	1673
346	886	1668
347	888	1664
348	892	1664
349	893	1659
350	895	1655
351	896	1651
352	901	1652
353	904	1650
354	905	1645
355	909	1645
356	911	1642
357	914	1639
358	915	1635
359	917	1630
360	920	1629
361	922	1625
362	923	1620
363	925	1616
364	926	1612
365	928	1608
366	931	1606
367	933	1603
368	935	1599
369	937	1595
370	938	1591
371	941	1588
372	942	1584
373	944	1581
374	946	1577
375	947	1573
376	950	1571
377	952	1566
378	953	1562
379	956	1560
380	959	1558
381	961	1554
382	963	1551
383	964	1547
384	966	1544
385	968	1539
386	970	1537
387	975	1537
388	976	1534
389	978	1530
390	981	1529
391	983	1525
392	985	1521
393	989	1521
394	990	1517
395	993	1515
396	996	1513
397	997	1509
398	1001	1508
399	1003	1504
400	1004	1500
401	1006	1497
402	1009	1495
403	1010	1491
404	1012	1486
405	1013	1482
406	1015	1479
407	1019	1479
408	1021	1476
409	1023	1472
410	1026	1470
411	1027	1466
412	1030	1464
413	1032	1461
414	1035	1459
415	1037	1455
416	1038	1451
417	1040	1449
418	1042	1445
419	1045	1443
420	1049	1443
421	1051	1439
422	1053	1436
423	1055	1433
424	1056	1429
425	1058	1426
426	1060	1423
427	1062	1420
428	1066	1419
429	1068	1415
430	1070	1413
431	1073	1411
432	1074	1407
433	1076	1404
434	1079	1401
435	1080	1398
436	1083	1395
437	1085	1392
438	1086	1388
439	1088	1384
440	1090	1381
441	1091	1378
442	1094	1376
443	1098	1375
444	1101	1373
445	1102	1369
446	1104	1366
447	1106	1363
448	1108	1360
449	1110	1357
450	1113	1355
451	1115	1352
452	1116	1348
453	1118	1345
454	1119	1341
455	1122	1338
456	1124	1335
457	1125	1332
458	1128	1329
459	1129	1326
460	1131	1322
461	1132	1319
462	1134	1315
463	1136	1312
464	1138	1309
465	1140	1306
466	1142	1303
467	1145	1301
468	1147	1298
469	1149	1295
470	1150	1292
471	1152	1288
472	1154	1286
473	1156	1282
474	1158	1280
475	1160	1276
476	1162	1274
477	1165	1272
478	1167	1270
479	1170	1268
480	1172	1265
481	1174	1262
482	1177	1260
483	1179	1257
484	1181	1254
485	1182	1251
486	1184	1247
487	1186	1244
488	1189	1242
489	1191	1240
490	1193	1237
491	1194	1233
492	1196	1230
493	1198	1227
494	1201	1225
495	1203	1222
496	1205	1220
497	1208	1218
498	1210	1214
499	1211	1211
500	1213	1208
501	1215	1205
502	1217	1202
503	1219	1199
504	1220	1196
505	1223	1194
506	1225	1191
507	1226	1188
508	1229	1186
509	1231	1182
510	1232	1179
511	1234	1176
512	1235	1172
513	1237	1170
514	1238	1166
515	1241	1164
516	1243	1161
517	1245	1159
518	1247	1156
519	1249	1153
520	1251	1150
521	1252	1147
522	1254	1143
523	1255	1140
524	1257	1137
525	1259	1134
526	1261	1132
527	1263	1129
528	1265	1126
529	1267	1123
530	1271	1123
531	1274	1121
532	1276	1118
533	1279	1116
534	1281	1114
535	1283	1111
536	1285	1108
537	1288	1106
538	1290	1104
539	1292	1101
540	1294	1098
541	1295	1095
542	1297	1092
543	1299	1089
544	1301	1086
545	1303	1083
546	1305	1080
547	1307	1078
548	1308	1074
549	1309	1071
550	1311	1068
551	1313	1065
552	1315	1063
553	1317	1060
554	1320	1058
555	1322	1056
556	1325	1054
557	1327	1051
558	1328	1048
559	1330	1045
560	1331	1042
561	1334	1040
562	1336	1037
563	1338	1034
564	1340	1032
565	1343	1029
566	1345	1027
567	1346	1024
568	1350	1023
569	1353	1020
570	1355	1018
571	1357	1015
572	1361	1014
573	1365	1013
574	1368	1011
575	1370	1009
576	1372	1006
577	1374	1003
578	1376	1001
579	1378	997
580	1381	996
581	1386	995
582	1390	994
583	1394	993
584	1396	990
585	1399	988
586	1402	986
587	1404	983
588	1409	983
589	1412	981
590	1414	978
591	1415	975
592	1417	972
593	1419	970
594	1421	967
595	1422	964
596	1425	961
597	1427	959
598	1429	957
599	1432	954
600	1433	951
601	1436	949
602	1439	947
603	1442	945
604	1444	943
605	1446	940
606	1448	938
607	1451	935
608	1452	932
609	1455	930
610	1457	928
611	1459	925
612	1461	922
613	1463	919
614	1466	917
615	1468	915
616	1471	913
617	1472	910
618	1474	907
619	1477	905
620	1479	902
621	1480	899
622	1482	896
623	1484	894
624	1486	891
625	1488	889
626	1489	886
627	1492	883
628	1494	881
629	1498	880
630	1500	877
631	1502	874
632	1503	871
633	1506	869
634	1509	867
635	1512	865
636	1514	862
637	1515	860
638	1519	858
639	1522	856
640	1524	853
641	1526	851
642	1528	848
643	1529	845
644	1531	842
645	1532	839
646	1534	837
647	1536	834
648	1538	831
649	1541	830
650	1543	827
651	1545	825
652	1547	822
653	1548	819
654	1551	817
655	1553	814
656	1555	811
657	1556	809
658	1558	806
659	1562	805
660	1565	803
661	1567	800
662	1568	797
663	1570	794
664	1572	792
665	1574	789
666	1575	786
667	1577	784
668	1580	782
669	1582	779
670	1584	777
671	1587	774
672	1588	771
673	1590	769
674	1591	766
675	1593	763
676	1595	761
677	1598	758
678	1600	756
679	1603	754
680	1606	752
681	1609	750
682	1611	748
683	1613	745
684	1614	742
685	1617	740
686	1618	737
687	1620	735
688	1622	732
689	1623	729
690	1625	726
691	1627	724
692	1629	721
693	1630	719
694	1632	716
695	1636	714
696	1638	712
697	1641	710
698	1644	708
699	1646	705
700	1647	702
701	1650	700
702	1653	698
703	1655	696
704	1657	693
705	1660	691
706	1664	689
707	1666	687
708	1669	685
709	1672	683
710	1674	680
711	1675	677
712	1677	675
713	1679	672
714	1681	670
715	1682	667
716	1684	664
717	1686	662
718	1688	660
719	1691	657
720	1693	655
721	1695	652
722	1697	650
723	1699	647
724	1701	645
725	1703	642
726	1707	641
727	1709	638
728	1712	636
729	1713	633
730	1715	631
731	1716	628
732	1718	625
733	1719	623
734	1721	620
735	1723	618
736	1724	615
737	1725	612
738	1729	610
739	1730	608
740	1732	605
741	1734	603
742	1736	600
743	1738	598
744	1741	595
745	1743	593
746	1747	591
747	1748	589
748	1751	586
749	1754	584
750	1757	582
751	1759	580
752	1761	577
753	1763	575
754	1764	572
755	1765	569
756	1767	567
757	1769	564
758	1771	562
759	1773	560
760	1777	558
761	1780	556
762	1783	554
763	1786	551
764	1788	549
765	1791	547
766	1793	544
767	1796	542
768	1799	540
769	1802	538
770	1804	535
771	1806	533
772	1808	530
773	1811	528
774	1813	526
775	1815	524
776	1817	521
777	1819	519
778	1821	516
779	1823	514
780	1825	511
781	1827	509
782	1830	507
783	1833	505
784	1835	502
785	1838	500
786	1840	498
787	1843	496
788	1846	493
789	1849	491
790	1851	489
791	1853	486
792	1854	484
793	1856	481
794	1858	479
795	1860	476
796	1863	474
797	1864	472
798	1867	469
799	1869	467
800	1871	464
801	1872	462
802	1874	459
803	1875	457
804	1877	454
805	1878	452
806	1880	449
807	1882	447
808	1884	444
809	1886	442
810	1887	439
811	1889	437
812	1890	434
813	1891	432
814	1893	429
815	1895	427
816	1896	424
817	1898	422
818	1900	420
819	1903	417
820	1905	415
821	1907	412
822	1908	410
823	1910	408
824	1912	405
825	1915	403
826	1917	401
827	1918	398
828	1920	396
829	1922	393
830	1924	391
831	1926	389
832	1928	386
833	1930	384
834	1932	381
835	1934	379
836	1936	377
837	1938	374
838	1939	372
839	1942	369
840	1944	367
841	1947	365
842	1949	362
843	1951	360
844	1953	358
845	1955	355
846	1958	353
847	1960	351
848	1962	349
849	1964	346
850	1966	344
851	1968	341
852	1970	339
853	1972	337
854	1974	334
855	1976	332
856	1979	330
857	1981	327
858	1982	325
859	1985	323
860	1987	320
861	1988	318
862	1990	315
863	1992	313
864	1994	311
865	1996	308
866	1998	306
867	1999	304
868	2001	301
869	2003	299
870	2004	296
871	2006	294
872	2008	292
873	2010	289
874	2012	287
875	2015	285
876	2016	282
877	2018	280
878	2020	278
879	2021	275
880	2023	273
881	2025	270
882	2027	268
883	2028	266
884	2030	263
885	2031	261
886	2033	259
887	2034	256
888	2035	254
889	2037	251
890	2038	249
891	2040	247
892	2042	244
893	2043	242
894	2045	239
895	2046	237
896	2048	235
897	2049	232
898	2050	230
899	2052	228
900	2053	225
901	2054	223
902	2056	220
903	2057	218
904	2058	216
905	2060	213
906	2061	211
907	2062	208
908	2063	206
909	2064	204
910	2066	201
911	2067	199
912	2069	197
913	2070	194
914	2071	192
915	2072	190
916	2074	187
917	2075	185
918	2076	183
919	2078	180
920	2079	178
921	2080	175
922	2081	173
923	2082	171
924	2083	168
925	2085	166
926	2086	164
927	2087	161
928	2089	159
929	2091	157
930	2092	155
931	2093	152
932	2094	150
933	2095	148
934	2096	145
935	2097	143
936	2099	141
937	2100	138
938	2101	136
939	2102	134
940	2104	131
941	2105	129
942	2106	127
943	2108	125
944	2109	122
945	2110	120
946	2112	118
947	2113	115
948	2114	113
949	2115	111
950	2117	109
951	2118	106
952	2119	104
